iter	Logloss
0	0.6894761181
1	0.6854507517
2	0.680901973
3	0.6764720628
4	0.6716532339
5	0.6675293957
6	0.6634843378
7	0.6598634475
8	0.654901892
9	0.6508412347
10	0.6467260159
11	0.6426423187
12	0.6388016993
13	0.634810492
14	0.6309399536
15	0.6268191652
16	0.6232925699
17	0.6191151696
18	0.6155302746
19	0.6125961907
20	0.6088653943
21	0.6051456306
22	0.6015059601
23	0.5985621777
24	0.5949224763
25	0.5931629442
26	0.5902272006
27	0.5870398305
28	0.5838935214
29	0.5804243572
30	0.577304627
31	0.573828071
32	0.5707961059
33	0.5678404579
34	0.5648338565
35	0.5609828207
36	0.5588653511
37	0.5573468088
38	0.5540818324
39	0.5521075724
40	0.5490432554
41	0.5451833994
42	0.5421139241
43	0.5390672357
44	0.5363381505
45	0.5337738978
46	0.5312529655
47	0.5280251726
48	0.5250762337
49	0.5222125463
50	0.5194568932
51	0.5166925075
52	0.5137714982
53	0.5111296328
54	0.5085033033
55	0.5062369299
56	0.5038489473
57	0.5009880786
58	0.4986668382
59	0.4963994563
60	0.4932683426
61	0.4922771267
62	0.4900286225
63	0.4872622111
64	0.4846961227
65	0.4826321559
66	0.4798884047
67	0.4770769165
68	0.4746757333
69	0.4726913819
70	0.4703780844
71	0.4676459748
72	0.4654234454
73	0.4630065424
74	0.4609748477
75	0.4591498777
76	0.4565462937
77	0.4546982298
78	0.453686
79	0.4515585562
80	0.4493815436
81	0.4471161042
82	0.4449052588
83	0.4427945646
84	0.4409261439
85	0.4395360523
86	0.4377155225
87	0.4353392455
88	0.4332168828
89	0.4309762149
90	0.4292009254
91	0.4269307493
92	0.4255314247
93	0.4234017712
94	0.421123231
95	0.4190701099
96	0.4170048136
97	0.4152900957
98	0.4145959494
99	0.4133093515
100	0.4121310223
101	0.4105691834
102	0.4089971328
103	0.4074004314
104	0.4059837389
105	0.4048368945
106	0.4028165674
107	0.4015878791
108	0.4001169585
109	0.3995825311
110	0.3979827281
111	0.3970871223
112	0.395623182
113	0.3936016517
114	0.3920203487
115	0.3905118614
116	0.3899442816
117	0.388222214
118	0.3866322956
119	0.3848675981
120	0.3832595309
121	0.3814629302
122	0.3801024064
123	0.3786142199
124	0.3770144022
125	0.3755072614
126	0.3744953666
127	0.3735156092
128	0.3720921648
129	0.3705915672
130	0.369008939
131	0.3677603549
132	0.3662895409
133	0.3651897803
134	0.3643249668
135	0.3626691713
136	0.3615746182
137	0.360235829
138	0.35941472
139	0.358979381
140	0.3581568922
141	0.357004203
142	0.3556316858
143	0.3546221382
144	0.353407374
145	0.3523722934
146	0.3513495893
147	0.3505021237
148	0.3490277191
149	0.3479060495
150	0.3472030213
151	0.3461257262
152	0.3451649733
153	0.3436450348
154	0.3422589654
155	0.3410021785
156	0.3399229804
157	0.338879056
158	0.3374824574
159	0.3368051002
160	0.3356654967
161	0.3346736374
162	0.3333541801
163	0.332162875
164	0.3308321963
165	0.3300199343
166	0.328652142
167	0.3278374923
168	0.3268206751
169	0.325752501
170	0.3242861097
171	0.3236316249
172	0.3228507739
173	0.3219489118
174	0.3208760131
175	0.3199377821
176	0.318722233
177	0.3177141691
178	0.3167327003
179	0.3155772054
180	0.3149183062
181	0.3141520864
182	0.3131228714
183	0.3120866605
184	0.3113882348
185	0.3105350833
186	0.3094787906
187	0.3086005622
188	0.3074492044
189	0.3069132071
190	0.306010252
191	0.3056064729
192	0.3046171996
193	0.3040340557
194	0.3030068989
195	0.3021253484
196	0.3010170797
197	0.3000644345
198	0.2991955208
199	0.2984479508
200	0.2975124724
201	0.2966935326
202	0.2958927988
203	0.2951589198
204	0.2944031257
205	0.2934804228
206	0.2926963647
207	0.2917737702
208	0.2910109651
209	0.2903533212
210	0.2897513473
211	0.2889382746
212	0.2882092049
213	0.2874371776
214	0.2864542065
215	0.285673046
216	0.2846195619
217	0.2838749512
218	0.2832301726
219	0.2826188228
220	0.2818141996
221	0.2812500948
222	0.2803871165
223	0.2796851763
224	0.2788964445
225	0.2781780262
226	0.2778947253
227	0.2773570404
228	0.2766258918
229	0.2763869956
230	0.2757109827
231	0.2750118626
232	0.2743209141
233	0.2734087548
234	0.2730374817
235	0.272258867
236	0.271472141
237	0.2708620874
238	0.269956616
239	0.2690758195
240	0.2683925104
241	0.2676827584
242	0.2670762022
243	0.2662165546
244	0.2660716427
245	0.2653225502
246	0.2646051882
247	0.2638852639
248	0.2634481874
249	0.2628122195
250	0.2622486777
251	0.2619296442
252	0.2613973144
253	0.2608846031
254	0.2601359307
255	0.2596328833
256	0.2590483492
257	0.2585368788
258	0.2576969812
259	0.2569166077
260	0.2562488547
261	0.2555759061
262	0.2548313916
263	0.2543416289
264	0.2535563528
265	0.25315149
266	0.2525730736
267	0.251755206
268	0.2509340443
269	0.2505419872
270	0.2501838976
271	0.2497634442
272	0.2491336479
273	0.2485947559
274	0.2479659606
275	0.247452761
276	0.2469561955
277	0.2461080307
278	0.2456977777
279	0.2450045943
280	0.2445638453
281	0.2440674808
282	0.2436818337
283	0.2429578153
284	0.2426040309
285	0.2419717879
286	0.2415261455
287	0.2408007383
288	0.2402480295
289	0.2395301181
290	0.2391833088
291	0.238881114
292	0.2382439985
293	0.2376833572
294	0.2373648968
295	0.2367375227
296	0.2362649915
297	0.2356369783
298	0.2350147446
299	0.2345768752
300	0.2340399443
301	0.2336276813
302	0.2330409597
303	0.2326740113
304	0.2320377683
305	0.2315256818
306	0.2310006697
307	0.2305895722
308	0.2301247644
309	0.2296627738
310	0.2294568937
311	0.2288915558
312	0.228520262
313	0.2279991019
314	0.2274782708
315	0.2269795178
316	0.2266459113
317	0.2261670095
318	0.225770113
319	0.2253825112
320	0.224775705
321	0.2243463225
322	0.2238898845
323	0.2232250586
324	0.222877226
325	0.2223980958
326	0.2220571307
327	0.2216406816
328	0.2211254332
329	0.2204188941
330	0.2198826125
331	0.2196775029
332	0.2194057746
333	0.2191466115
334	0.218821718
335	0.2183574215
336	0.21821283
337	0.2177112663
338	0.2174739486
339	0.2169954662
340	0.2166530303
341	0.2162396858
342	0.2157192575
343	0.2152536985
344	0.214932762
345	0.2144313232
346	0.2137642682
347	0.2134072867
348	0.2129460157
349	0.2126072976
350	0.2123261977
351	0.2121515978
352	0.2116646781
353	0.2113427742
354	0.2109301557
355	0.2104361294
356	0.209949018
357	0.2096830499
358	0.2093619352
359	0.2090692441
360	0.2087388692
361	0.2081084424
362	0.2075889958
363	0.2071632793
364	0.2070040329
